capability	sdk_version	source_symbol	evidence_level	result	gap	decision	owner_phase
GRAPH-07 journal Session commit coordination	v1.10.0	sdk:graph/checkpoint.go PutFullRequest; sdk:session/session.go Service.AppendEvent; repo:internal/agent/runtime/tool_executor.go ToolJournal	fixed source + Task3 six gaps	source-only	无跨业务日志/SDK Session/事件的通用事务；interfaces.md 定义同库提交意图+幂等投影+barrier，须 crash 验收	最小业务扩展	P1/P2/P3/P7
MODEL-01 native protocol	v1.10.0	sdk:model/model.go Model.GenerateContent; sdk:model/request.go Request; sdk:model/response.go Response	fixed source	source-only	采用 model.Model 协议，不把已有 chat.Chat 桥作为完成；P3 每 provider 真实 streaming/tools/error/cancel	原生采用	P3
MODEL-02 configuration and credentials [MOD-001]	v1.10.0	repo:internal/models/chat/chat.go ChatConfig/ConfigFromModel; sdk:model/openai/options.go WithBaseURL/WithAPIKey/WithHeaders/WithHTTPClientOptions	fixed source	source-only	运行时授权/解密/版本绑定/代理/SSRF/并发/超时需业务 ModelResolver；无密钥入 checkpoint	最小业务扩展	P1/P3
MODEL-03 token sampling and thinking fields	v1.10.0	repo:internal/agent/trpc/model.go convertModelRequest; repo:internal/agent/trpc/model_test.go TestModelMapsExistingChatAndPreservesMultimodal; sdk:model/request.go GenerationConfig	fixed source; old test read not run	source-only	Temperature TopP MaxTokens FrequencyPenalty PresencePenalty ThinkingEnabled 明确映射；nil 与 0 语义/Provider shaping 需测试	原生采用	P3
MODEL-04 special ExtraFields	v1.10.0	repo:internal/agent/trpc/model.go convertModelRequest; sdk:model/request.go Request.ExtraFields	fixed source; old test read not run	source-only	seed tool_choice parallel_tool_calls max_completion_tokens format/StructuredOutput 逐项保留；不准静默丢弃或允许凭据覆盖	最小业务扩展	P3
MODEL-05 image and reasoning [MOD-002]	v1.10.0	repo:internal/agent/trpc/model.go convertModelMessage; repo:internal/agent/trpc/model_test.go TestModelMapsExistingChatAndPreservesMultimodal; sdk:model/request.go Message	fixed source; old test read not run	source-only	text/image URL+inline data/detail/format、ToolID/ToolName、ReasoningContent、tool ExtraFields 双向；图片权限/vision gate 保留	最小业务扩展	P3/P5
MODEL-06 legacy bridge unsupported fields	v1.10.0	repo:internal/agent/trpc/model.go convertModelRequest/convertModelMessage; sdk:model/request.go GenerationConfig/Message	fixed source	incompatible	旧桥拒绝 Stop ReasoningEffort ThinkingTokens ThinkingLevel Headers ReasoningSignature/audio 等；不能作为原生能力通用适配层	最小业务扩展	P3
MODEL-07 tool metadata and streamed arguments	v1.10.0	repo:internal/agent/trpc/model.go mergeToolCalls/complete; repo:internal/agent/trpc/model_test.go TestModelToolArgumentScalarFragmentsAreAppended/TestModelStreamOnlyPublishesCompleteToolPlan; sdk:model/request.go ToolCall.ExtraFields	fixed source; old test read not run	source-only	保留 thought_signature/google metadata；标量/重复 delta 必须追加，仅显式完整 snapshot 覆盖；完整参数验证+日志提交后才可调用	最小业务扩展	P2/P3
MODEL-08 stream terminal failure	v1.10.0	repo:internal/agent/trpc/model_test.go TestModelErrorsCannotCreateSuccessfulPlans/TestModelOllamaDoneWithoutFinishReason; sdk:model/response.go Response	fixed source; old test read not run	source-only	partial EOF/error/incomplete/cancel/无效 JSON 不成功；Ollama Answer Done 无 finishReason 可完成但 Thinking Done 不可；真实 Provider 待验	最小业务扩展	P3/P5
MODEL-09 usage and prompt cache	v1.10.0	repo:internal/models/chat/prompt_cache.go; repo:internal/models/chat/usage.go; sdk:model/response.go Usage	fixed source	source-only	prompt/completion/total cached/read/create、cache accounting status/TTL/key、provider receipt 与 partial usage 保留；缺 usage 为 unknown 不是零	最小业务扩展	P2/P3/P7
TOOLS-01 schema and pre-call gate [TOOL-001,TOOL-003]	v1.10.0	sdk:tool/tool.go CallableTool/StreamableTool/Declaration/Schema; sdk:internal/flow/processor/functioncall.go executeToolWithCallbacks; repo:internal/agent/runtime/tool_executor.go BeforeToolDispatch	fixed source	source-only	plugin BeforeTool→local BeforeTool→permission→execute；最终业务 guard 须在真实调用前固化最终 args/hash/approval/journal；不可仅 after 审计	最小业务扩展	P2/P4
TOOLS-02 output and cancellation	v1.10.0	sdk:tool/tool.go StreamableTool; repo:internal/types/agent.go ToolResult; repo:internal/agent/runtime/tool_executor.go StoredToolResult	fixed source	source-only	保留内容/结构/附件引用/截断标记/错误；流关闭和取消不伪装成功；附件重新授权；P4 大输出/断流/取消测试	最小业务扩展	P2/P4/P5
TOOLS-03 retries and unknown effects [TOOL-002]	v1.10.0	sdk:agent/llmagent/option.go WithToolCallRetryPolicy; repo:internal/agent/runtime/tool_recovery.go RecoveryAction	fixed source + Task3 policy evidence	source-only	SDK 重试默认与每次真实 dispatch 需锁定；非幂等不可查询 unknown 必须 waiting_user；不允许模型重入绕开 call ID	最小业务扩展	P2/P7
MCP-01 dynamic discovery and identity [MCP-001]	v1.10.0	sdk:tool/mcp/toolset.go ToolSet.Tools; sdk:tool/mcp/config.go WithName/WithToolFilterFunc; repo:internal/application/service/agent_service.go registerMCPTools	fixed source	source-only	动态工具列表/服务 ID+tool name+schema revision；none/selected-empty/disabled/撤权不暴露；发现过滤不等于调用授权	最小业务扩展	P2/P4
MCP-02 OAuth and approval [TOOL-003]	v1.10.0	sdk:tool/mcp/config.go WithMCPOptions; repo:internal/types/principal.go MCPOAuthPrincipalFromContext; repo:internal/agent/runtime/tool_executor.go OAuthWaitError/ApprovalWaitError	fixed source	source-only	SDK MCP transport 不提供 WeKnora OAuth 归属与持久决定；每请求解析 token、OAuth/approval 独立 wait kind；重启/过期/撤权实测	最小业务扩展	P1/P2/P4
MCP-03 reconnect retransmission	v1.10.0	sdk:tool/mcp/tool.go Call/callOnce; sdk:tool/mcp/toolset.go callTool/executeWithSessionReconnect; sdk:tool/mcp/config.go WithSessionReconnectConfig	fixed source	source-only	不设置 reconnect 默认不重连；两个 WithSessionReconnect 选项会启用且重放 operation；写工具禁用自动重连直到查询/幂等证明	最小业务扩展	P2/P4/P7
MCP-04 results timeout close	v1.10.0	sdk:tool/mcp/tool.go mcpToolResult; sdk:tool/mcp/toolset.go createTimeoutContext/Close; repo:internal/agent/tools/mcp_tool.go	fixed source	source-only	Content/Meta/IsError 不压成成功字符串；schema 子集转换不能丢约束；真实计数、超时、取消、资源释放待验	最小业务扩展	P4
CONNECTOR-01 active installation and action [CON-001,CON-002]	v1.10.0	repo:internal/application/service/agent_service.go registerOpenConnectorTool; repo:internal/application/service/appconnector/oc_recovery.go; sdk:tool/tool.go CallableTool	fixed source; ADR-0001	source-only	继续共享 open-connector；业务 tenant/connection/action token/approval/query 边界不由 SDK 替代；未知保持 held	最小业务扩展	P2/P4/P7
KNOWLEDGE-01 RAG graph document and SQL [KNW-001]	v1.10.0	repo:internal/application/service/agent_service.go registerTools; sdk:tool/tool.go CallableTool	fixed source	source-only	knowledge_search grep_chunks list_knowledge_chunks query_knowledge_graph get_document_info database_query 继续调用现有知识服务；权限/引用/source 必验	最小业务扩展	P2/P4
KNOWLEDGE-02 Wiki read and write [KNW-002]	v1.10.0	repo:internal/application/service/agent_service.go allWikiToolSet; sdk:tool/tool.go CallableTool	fixed source	source-only	read/search/source_doc/read_issue/flag_issue/update_issue/write/replace/rename/delete 全覆盖；shared read-only 删写工具且 dispatch 重查	最小业务扩展	P2/P4
KNOWLEDGE-03 auxiliary data and conversations	v1.10.0	repo:internal/application/service/agent_service.go registerTools; sdk:tool/tool.go CallableTool	fixed source	source-only	thinking todo_write search_conversations data_analysis data_schema 保留；conversation search 只读授权范围，不把归档隐式作新历史	最小业务扩展	P2/P4
WEB-01 search and fetch [WEB-001]	v1.10.0	repo:internal/application/service/agent_service.go registerTools; sdk:tool/tool.go CallableTool	fixed source	source-only	保留配置供应商/开关/URL 和 SSRF 策略/引用；SDK webfetch 不自动替换业务策略	最小业务扩展	P4
SKILL-01 native loading [SKL-001]	v1.10.0	sdk:skill/repository.go Repository/NewFSRepository; sdk:agent/llmagent/option.go WithSkills/WithSkillFilter; repo:internal/application/service/agent_service.go initializeSkillsManager	fixed source	source-only	仅加载通过安装校验/授权的 bundle；按版本 hash 固定，不能直接信任 SDK 扫描任意目录	最小业务扩展	P4
SKILL-02 implicit local executor	v1.10.0	sdk:agent/llmagent/option.go WithSkills/WithSkillToolProfile/WithEnableCodeExecutionResponseProcessor	fixed source	incompatible	零配置 WithSkills 会自动 local executor；必须显式受控 sandbox 或显式 knowledge_only 禁执行，且所有 code execution 面均授权	最小业务扩展	P4/P7
SANDBOX-01 file shell workspace [SBX-001]	v1.10.0	sdk:codeexecutor/workspace.go Engine/WorkspaceFS/ProgramRunner; sdk:codeexecutor/codeexecutor.go CodeExecutor; repo:internal/application/service/agent_service.go registerSandboxFileTools/registerSandboxShellIfAllowed	fixed source	source-only	现有 session-bound capability/allowlist/路径隔离/凭据/文件产物仍为业务；read/write/edit/list/shell 全部走 guard	最小业务扩展	P4/P7
SANDBOX-02 long tasks and recovery	v1.10.0	sdk:codeexecutor/interactive.go InteractiveProgramRunner/ProgramSession; repo:internal/agent/runtime/contracts.go RemoteStartRequest	fixed source	source-only	persist external ID/target/workspace/parent/run/tool attempt；取消未确认继续核对；SDK 进程对象不是跨重启身份	最小业务扩展	P2/P4/P7
SESSION-01 key space [SES-002]	v1.10.0	sdk:session/session.go Key/UserKey; repo:internal/agent/nativeprobe/runner_test.go TestSessionScopeKeysSeparateTenants	Task2 deterministic inmemory unit	verified	仅 AppName 分离；不证明认证、数据库、principal 或跨进程隔离	原生采用	P1/P3
SESSION-02 authority CRUD [SES-001]	v1.10.0	sdk:session/session.go Service.CreateSession/GetSession/ListSessions/DeleteSession/AppendEvent	fixed source	source-only	Session Service 唯一新执行历史权威；当前 MessageRepository 只作可重建 UI 投影；delete 权限/保留策略单独核验	最小业务扩展	P1/P3
SESSION-03 filters pagination summary	v1.10.0	sdk:session/session.go WithEventNum/WithEventTime/WithGetSessionEventPage/CreateSessionSummary; sdk:session/summary/summarizer.go	fixed source	source-only	SDK event page 文档限定 postgres/mysql；不能声称 SQLite 支持；摘要保留原事件和 branch 边界，截断工具配对/摘要计费待验	最小业务扩展	P1/P3
SESSION-04 SQL implementation selection	v1.10.0	sdk:session/session.go Service; repo:internal/container/container.go database setup; repo:go.mod	fixed source	source-only	仅 root v1.10.0 固定；未固定 SQLite/PostgreSQL Session 子模块；不可借本机 v1.11.0 子模块声明可用；DB 实现选择明确阻塞	阻塞并修订规格	P0/P1/P3
SESSION-05 event append failure barrier	v1.10.0	sdk:runner/runner.go handleEventPersistence/processSingleAgentEvent	fixed source	incompatible	AppendEvent 错误被 log 并返回 false，后续流程仍可通知/转发；必须 fault latch+提交 barrier 或选已验证修复版本，不能把 SDK completion 当耐久确认	阻塞并修订规格	P0/P1/P3/P7
SESSION-06 idempotency projection repair	v1.10.0	sdk:event/event.go Event; sdk:session/session.go AppendEvent; repo:internal/agent/runtime/contracts.go RunEventStore	fixed source	source-only	稳定 event ID+payload hash 唯一；同 ID 不同载荷拒绝；故障重放只修投影不重推理；P1 DB 故障/重建测试	最小业务扩展	P1/P3
MEMORY-01 scope CRUD [MEM-001,MEM-002]	v1.10.0	sdk:memory/memory.go Service/Key/UserKey; repo:internal/types/interfaces/memory.go MemoryScope/MemoryService	fixed source	source-only	按认证 tenant+memory principal 映射；delete/clear/开关重新授权；Memory Service 唯一新记忆权威；存储版本未选定	最小业务扩展	P1/P3
MEMORY-02 tools and background extraction	v1.10.0	sdk:memory/memory.go Tools/EnqueueAutoMemoryJob; sdk:runner/runner.go enqueueAutoMemoryJob; repo:internal/types/interfaces/memory.go SetEnabled/ScheduleExtraction	fixed source	source-only	worker enqueue/extract/commit 三次检查开关和撤权代际，delete tombstone 防旧作业复活；不能只隐藏工具	最小业务扩展	P1/P3
MEMORY-03 product memory semantics	v1.10.0	repo:internal/types/interfaces/memory.go MemoryService; sdk:memory/memory.go Entry/Metadata/Service	fixed source	source-only	resident recall/semantic retrieval/background interests/document affinity/topics/confirm/reject/edit/consolidate 不是 SDK CRUD；最小业务索引+拒绝标记保留，不能另建第二权威	最小业务扩展	P1/P3/P4
MULTI-01 native composition [DEL-001]	v1.10.0	sdk:agent/chainagent/chain_agent.go; sdk:agent/parallelagent/parallel_agent.go; sdk:tool/agent/agent_tool.go; sdk:tool/transfer/transfer_tool.go	fixed source	source-only	原生组合替换框架编排，但现有 Craft 外部引擎无需重写；不增加新产品多 Agent 功能	原生采用	P2/P4
MULTI-02 child identity budget cancel	v1.10.0	sdk:agent/parallelagent/parallel_agent.go createBranchInvocation/startSubAgents; sdk:tool/agent/agent_tool.go callWithParentInvocation; repo:internal/agent/runtime/contracts.go Fence	fixed source	source-only	Invocation.Clone 不证明权限不扩大；child run+parent+budget root+subset grants；父取消级联/并行预算原子扣留/结果归属测试	最小业务扩展	P2/P4/P7
MULTI-03 parallel state writes	v1.10.0	sdk:agent/parallelagent/parallel_agent.go mergeEventStreams; sdk:agent/invocation.go Clone; sdk:session/session.go Session	fixed source	source-only	branch 身份/状态 reducer/单 Session commit 顺序和冲突规则须验证；Task2 race 未解除，禁止靠 Clone 宣称隔离	阻塞并修订规格	P0/P1/P2/P4
MULTI-04 Craft remote execution	v1.10.0	repo:internal/application/service/agent_service.go registerCraftDelegateTool; repo:internal/agent/runtime/contracts.go RemoteCommandProvider/RemoteUsageProvider	fixed source	source-only	Craft 绑定工作区与远程驱动保留；execution target 身份不等于 tenant；provider receipt/取消/unknown 审计；共享 ADR 边界不变	最小业务扩展	P2/P4/P7
USAGE-01 callbacks attempts [BIL-001]	v1.10.0	sdk:internal/flow/llmflow/llmflow.go responseSeq/handleAfterModelCallbacks; sdk:model/callbacks.go AfterModelArgs; repo:internal/agent/trpc/model.go ModelAttempt	fixed source	source-only	AfterModel 对 response 序列运行而非恰一次收费通知；每真实 Provider dispatch 独立 attempt；重试/hedge/failover 默认禁用直至可归因	最小业务扩展	P2/P3/P7
USAGE-02 billing source and budget	v1.10.0	repo:internal/agent/runtime/contracts.go Admission/Fence/RemoteUsageObservation; sdk:model/response.go Usage	fixed source	source-only	平台/BYOK/price/credential version/budget root 由准入冻结；实际失败消耗也记录；unknown 不按零收费；预算耗尽耐久终态	最小业务扩展	P1/P2/P5/P7
EVENT-01 durable append and schema [EVT-001]	v1.10.0	repo:internal/application/service/agent_run_graph.go ExecuteDurableRun emit; repo:internal/agent/runtime/contracts.go RunEventStore; sdk:event/event.go Event	fixed source	incompatible	旧 emit append 失败仅 warning；新协议必须耐久 append 后发送，SDK event version 不等于业务协议版本	最小业务扩展	P1/P3/P5/P7
EVENT-02 retry text replay cursor	v1.10.0	sdk:model/response.go Response.ID/IsPartial; repo:internal/agent/runtime/contracts.go RunEvent/ErrCursorExpired	fixed source	source-only	attempt started/replaced/finished；每 chunk 稳定 ID 和 offset，seq 去重；Last-Event-ID 有缺口明确 resync 不拼废弃文本	最小业务扩展	P1/P3/P5/P7
CLIENT-01 Go CLI [CLI-001]	v1.10.0	repo:client/agent.go; repo:cli/cmd/session/ask.go	fixed source	source-only	P5 对 business event v1 适配聊天/工具/审批/用量/取消/重连；HTTP 测试不是发布验收	最小业务扩展	P5/P7
CLIENT-02 shared API clients [WEB-CLI-001]	v1.10.0	repo:packages/api-client/src/chat/stream.ts; repo:apps/web; repo:apps/desktop; repo:apps/embed; repo:apps/miniprogram	fixed source	source-only	P5 按平台行为验证；Web browser/desktop native/miniprogram 分开；新旧协议不必兼容但必须明确升级提示	最小业务扩展	P5/P7
CLIENT-03 Flutter and Expo [MOB-001,MOB-002]	v1.10.0	repo:apps/mobile/lib/features/direct_connections/services/weknora_adapter.dart; repo:apps/mobile-next/src/features/conversations/chat/ChatService.ts	fixed source	source-only	两条活跃消费链各自适配/编译/设备；Expo export 不能代替原生启动	最小业务扩展	P5/P7
CLIENT-04 DSH [DSH-001]	v1.10.0	repo:packages/dsh-weknora/src/client.ts	fixed source	source-only	独立 Node 协议与 server tool 展示/取消/重连证据	最小业务扩展	P5/P7
ARCHIVE-01 authorized read only [ARC-001,ARC-003]	v1.10.0	repo:internal/types/session.go Session; repo:docs/superpowers/specs/2026-09-19-trpc-native-agent-migration-design.md sections 5/8	confirmed spec + fixed source	source-only	保留历史消息/工具/审批/审计/附件/产物/长期记忆；当前权限检查；ArchiveReader 无执行写入口；备份恢复待验	最小业务扩展	P6/P7
ARCHIVE-02 clean namespace [ARC-002]	v1.10.0	repo:internal/agent/trpc/checkpoint.go checkpointEnvelope; repo:docs/superpowers/specs/2026-09-19-trpc-native-agent-migration-design.md sections 1/8	confirmed spec + fixed source	source-only	新 namespace native-v1；旧 session 不可 resume/steer/追加/自动注入，新 Session/Memory/checkpoint 从零	最小业务扩展	P1/P6/P7
PROVIDER-openai	v1.10.0	repo:internal/models/chat/provider.go openAIReasoningProvider/shapeOpenAIReasoning; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	o-series/GPT5 去采样字段且 max_completion_tokens；标准模型保留配置；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；原生适配通过后删除相应 shim	最小业务扩展	P3/P7
PROVIDER-anthropic	v1.10.0	repo:internal/models/chat/anthropic.go NewAnthropicChat; sdk:model/model.go Model	fixed source; no real-provider execution	source-only	独立 Messages 协议/缓存/图片/tool_use/tool_result/thinking；root SDK 无本任务已固定的 Anthropic 子模块，需固定后证明或最小 Model 实现；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；原生适配通过后删除相应 shim	最小业务扩展	P3/P7
PROVIDER-aliyun	v1.10.0	repo:internal/models/chat/provider.go qwenThinkingProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	Qwen enable_thinking 始终送且非流关闭；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；原生适配通过后删除相应 shim	最小业务扩展	P3/P7
PROVIDER-zhipu	v1.10.0	repo:internal/models/chat/provider.go baseProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	OpenAI-compatible；保留 endpoint/model/auth/stream/tool/image；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；先采用 SDK OpenAI-compatible；业务 ModelResolver 保留；通过真实验收后移除旧 provider 壳	原生采用	P3/P7
PROVIDER-openrouter	v1.10.0	repo:internal/models/chat/provider.go baseProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	OpenAI-compatible 路由与 provider/model 名、缓存能力差异；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；先采用 SDK OpenAI-compatible；业务 ModelResolver 保留；通过真实验收后移除旧 provider 壳	原生采用	P3/P7
PROVIDER-litellm	v1.10.0	repo:internal/models/chat/provider.go liteLLMProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	chat_template_kwargs 思考字段；gateway auth/model aliases；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；原生适配通过后删除相应 shim	最小业务扩展	P3/P7
PROVIDER-requesty	v1.10.0	repo:internal/models/chat/provider.go baseProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	OpenAI-compatible gateway headers/model aliases；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；先采用 SDK OpenAI-compatible；业务 ModelResolver 保留；通过真实验收后移除旧 provider 壳	原生采用	P3/P7
PROVIDER-siliconflow	v1.10.0	repo:internal/models/chat/provider.go baseProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	OpenAI-compatible；保留已配模型参数与 endpoint；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；先采用 SDK OpenAI-compatible；业务 ModelResolver 保留；通过真实验收后移除旧 provider 壳	原生采用	P3/P7
PROVIDER-generic	v1.10.0	repo:internal/models/chat/provider.go genericProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	vLLM chat_template_kwargs/reasoning_content 和自定义头；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；原生适配通过后删除相应 shim	最小业务扩展	P3/P7
PROVIDER-deepseek	v1.10.0	repo:internal/models/chat/provider.go deepseekProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	删除 tool_choice；raw prompt_cache_hit/miss 和 reasoning_content 往返；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；原生适配通过后删除相应 shim	最小业务扩展	P3/P7
PROVIDER-gemini	v1.10.0	repo:internal/models/chat/provider.go geminiProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	OpenAI-compatible extra_content.google thought signature 双向保留，不能扁平丢弃；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；原生适配通过后删除相应 shim	最小业务扩展	P3/P7
PROVIDER-volcengine	v1.10.0	repo:internal/models/chat/provider.go volcengineProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	thinking.type 开关及部署 model ID；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；原生适配通过后删除相应 shim	最小业务扩展	P3/P7
PROVIDER-hunyuan	v1.10.0	repo:internal/models/chat/provider.go baseProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	现有 OpenAI-compatible bearer 路径；SDK model/hunyuan 原生鉴权不是可直接替换凭据的证明；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；原生适配通过后删除相应 shim	最小业务扩展	P3/P7
PROVIDER-minimax	v1.10.0	repo:internal/models/chat/provider.go baseProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	OpenAI-compatible 当前路径及工具/思考输出；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；先采用 SDK OpenAI-compatible；业务 ModelResolver 保留；通过真实验收后移除旧 provider 壳	原生采用	P3/P7
PROVIDER-mimo	v1.10.0	repo:internal/models/chat/provider.go baseProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	多轮 reasoning_content 回传；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；先采用 SDK OpenAI-compatible；业务 ModelResolver 保留；通过真实验收后移除旧 provider 壳	原生采用	P3/P7
PROVIDER-gpustack	v1.10.0	repo:internal/models/chat/provider.go baseProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	OpenAI-compatible 自托管 endpoint/auth/model；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；先采用 SDK OpenAI-compatible；业务 ModelResolver 保留；通过真实验收后移除旧 provider 壳	原生采用	P3/P7
PROVIDER-moonshot	v1.10.0	repo:internal/models/chat/provider.go moonshotProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	v1 模型温度固定 1，去其余采样参数；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；原生适配通过后删除相应 shim	最小业务扩展	P3/P7
PROVIDER-modelscope	v1.10.0	repo:internal/models/chat/provider.go baseProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	OpenAI-compatible endpoint/model/auth；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；先采用 SDK OpenAI-compatible；业务 ModelResolver 保留；通过真实验收后移除旧 provider 壳	原生采用	P3/P7
PROVIDER-qianfan	v1.10.0	repo:internal/models/chat/provider.go baseProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	OpenAI-compatible endpoint/model/auth；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；先采用 SDK OpenAI-compatible；业务 ModelResolver 保留；通过真实验收后移除旧 provider 壳	原生采用	P3/P7
PROVIDER-qiniu	v1.10.0	repo:internal/models/chat/provider.go baseProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	OpenAI-compatible endpoint/model/auth；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；先采用 SDK OpenAI-compatible；业务 ModelResolver 保留；通过真实验收后移除旧 provider 壳	原生采用	P3/P7
