id	category	behavior	entry	consumers	baseline_test	required_environment	target_phase	evidence_status
MCP-001	mcp	enabled tenant MCP services are registered for on-demand discovery	internal/application/service/agent_service.go:229	Web Desktop mobile CLI DSH	internal/agent/mcp_exposure_test.go	MCP server and configured tenant	P2/P4	unverified
CON-001	connector	open connector surface is visible only with an active installation	internal/application/service/agent_service.go:311	all agent-chat clients	internal/application/service/agent_connector_test.go	SQLite isolated database	P2/P4	unverified
CON-002	connector	unknown connector dispatch is queried or remains held rather than guessed successful	internal/application/service/appconnector/oc_recovery.go	open connector action surface	internal/application/service/appconnector/action_test.go	configured provider and isolated database	P2/P7	unverified
KNW-001	knowledge	RAG and wiki tools are removed when no authorized knowledge scope/capability exists	internal/application/service/agent_service.go:840	builtin and trpc agent sessions	internal/application/service/agent_service_test.go	isolated database plus knowledge service	P2/P4	unverified
KNW-002	knowledge	shared agent write tools are removed for read-only sharing	internal/application/service/agent_service.go:840	shared-agent consumers	internal/application/service/agent_service_test.go	unit	P2/P4	unverified
WEB-001	web	web search and fetch are registered only when the runtime web switch is enabled	internal/application/service/agent_service.go:840	builtin and trpc agent sessions	internal/application/service/agent_service_test.go	configured web provider	P2/P4	unverified
SKL-001	skills	tenant skills are loaded from validated installed bundles and policy-selected directories	internal/application/service/agent_service.go:554	builtin and trpc agent sessions	internal/application/service/tenant_skill_install_test.go	isolated database and sandbox	P4	unverified
SBX-001	sandbox	sandbox file and shell tools require a session-bound capability and skill/install entitlement	internal/application/service/agent_service.go:406; internal/application/service/agent_service.go:493	builtin and trpc agent sessions	internal/application/service/agent_service_test.go	configured sandbox provider	P4/P7	unverified
DEL-001	delegation	Craft delegate tool is exposed only for eligible tRPC sessions and bound workspaces	internal/application/service/agent_service.go:1130	Craft consumers	internal/application/service/craft_delegate_test.go	isolated database plus Craft runtime	P2/P4	unverified
SES-001	session	builtin path loads bounded message history while durable path rebuilds model messages from persisted history	internal/application/service/session_agent_qa.go; internal/application/service/agent_run_graph.go	Web Desktop mobile CLI DSH	internal/application/service/agent_history_test.go	isolated database	P1/P3	unverified
SES-002	session	SDK Session Service has no current production consumer; scope-key probe is required before adoption	search: apps packages cli client and internal application agent	SDK migration; search found no current consumer	internal/agent/nativeprobe/runner_test.go (planned)	SDK in-memory service	P2	unverified
MEM-001	memory	memory recall/search is disabled unless service and user/workspace preference permit it	internal/application/service/session_agent_qa.go; internal/application/service/agent_service.go:947	builtin and trpc agent sessions	internal/application/service/agent_memory_config_test.go	isolated database plus memory service	P1/P3	unverified
MEM-002	memory	SDK Memory Service has no current production consumer; deletion and scope mapping remain a P1 contract	search: apps packages cli client and internal application agent	SDK migration; search found no current consumer	none; contract test planned by P1/P3	isolated database and SDK source	P1/P3	unverified
ARC-001	archive	historical sessions records and artifacts are readable only through authorized read-only archive access	docs/superpowers/specs/2026-09-19-trpc-native-agent-migration-design.md:92,128	archive query clients; current consumer routing to be implemented	no current archive-route test; P6 contract test planned	isolated database plus authorization and archive fixture	P6/P7	unverified
ARC-002	archive	old sessions checkpoints and long-term memory are excluded from new execution context and never resumed implicitly	docs/superpowers/specs/2026-09-19-trpc-native-agent-migration-design.md:12,92,128	new Runner and migration consumers	no current new/old isolation test; P6/P7 test planned	isolated database with legacy and new namespaces	P6/P7	unverified
ARC-003	archive	historic messages attachments audit records approvals and artifact references are preserved because archive is not deletion	docs/superpowers/specs/2026-09-19-trpc-native-agent-migration-design.md:16,128	archive query backup and migration consumers	no current preservation test; P6/P7 fixture and backup test planned	isolated database object storage and audit fixture	P6/P7	unverified
BIL-001	billing	budget exhaustion is emitted as a durable terminal event without treating it as tool success	internal/application/service/agent_run_graph.go	trpc clients and commercial ledger	internal/application/service/agent_run_budget_notification_test.go	isolated database plus commercial services	P2/P5/P7	unverified
EVT-001	events	durable run events are appended for clients and failures but append failure is currently logged	internal/application/service/agent_run_graph.go	Web Desktop mobile CLI DSH	internal/application/service/agent_run_graph_test.go	isolated database and reconnect client	P1/P5/P7	unverified
CLI-001	client	Go client and CLI stream agent-chat SSE and project agent frames	client/agent.go; cli/cmd/session/ask.go	CLI and external Go SDK	client/streaming_test.go; cli/cmd/session/ask_test.go	HTTP server	P5	unverified
WEB-CLI-001	client	Web desktop embed and miniprogram share API client stream contracts	packages/api-client/src/chat/stream.ts	apps/web apps/desktop apps/embed apps/miniprogram	packages/api-client/src/chat/stream.test.ts	browser and platform builds	P5	unverified
MOB-001	client	Flutter mobile chooses agent-chat for smart-reasoning agents	apps/mobile/lib/features/direct_connections/services/weknora_adapter.dart	apps/mobile	apps/mobile/test/features/direct_connections/weknora_adapter_test.dart	Flutter build and device	P5	unverified
MOB-002	client	mobile-next posts agent-chat and consumes SSE through its independent Expo client	apps/mobile-next/src/features/conversations/chat/ChatService.ts	apps/mobile-next	apps/mobile-next/tests/features/chat.test.ts	Node Expo native builds and device	P5	unverified
DSH-001	client	DSH routes requests with an agent id to agent-chat and reports server-side tools	packages/dsh-weknora/src/client.ts	DSH consumers	packages/dsh-weknora/test/client.test.mjs	Node HTTP test server	P5	unverified
